Beginning Stadium,Ending Stadium,Distance,,
Qualcomm Stadium,University of Phoenix Stadium,300,,
Qualcomm Stadium,Los Angeles Memorial Coliseum,121,,
Qualcomm Stadium,Sports Authority Field at Mile High,830,,
University of Phoenix Stadium,Qualcomm Stadium,300,,
Los Angeles Memorial Coliseum,Qualcomm Stadium,121,,
Sports Authority Field at Mile High,Qualcomm Stadium,830,,
,,,,
,,,,
,,,,
